iata_code,name,latitude,longitude,elevation_ft,continent,country_code,region_code,city,airport_type,is_hub,region
TRG,Tauranga Airport,-37.67190170288086,176.1959991455078,13.0,OC,NZ,NZ-BOP,Tauranga,medium_airport,False,NZ
TRI,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,1519.0,,US,US-TN,Blountville,medium_airport,False,US
TRK,Juwata International Airport / Suharnoko Harbani AFB,3.325145,117.564169,23.0,AS,ID,ID-KU,Tarakan,medium_airport,False,ID
TRN,Turin Airport,45.200802,7.64963,989.0,EU,IT,IT-21,Caselle Torinese (TO),large_airport,False,IT
TRR,China Bay Airport,8.539159,81.18128,6.0,AS,LK,LK-5,Trincomalee,medium_airport,False,LK
TRS,Trieste–Friuli Venezia Giulia Airport,45.827499,13.4722,39.0,EU,IT,IT-36,Ronchi dei Legionari (GO),medium_airport,False,IT
TRT,Toraja Airport,-3.185833,119.91775,2884.0,AS,ID,ID-SS,Toraja,medium_airport,False,ID
TRU,Capitan FAP Carlos Martinez De Pinillos International Airport,-8.08141040802002,-79.10880279541016,106.0,SA,PE,PE-LAL,Trujillo,medium_airport,False,PE
TRV,Thiruvananthapuram International Airport,8.48212,76.920097,15.0,AS,IN,IN-KL,Thiruvananthapuram,large_airport,False,IN
TRW,Bonriki International Airport,1.38164,173.147003,9.0,OC,KI,KI-G,Tarawa,medium_airport,False,KI
TRZ,Tiruchirappalli International Airport,10.766223,78.71774,288.0,AS,IN,IN-TN,Tiruchirappalli,medium_airport,False,IN
TSA,Taipei Songshan Airport,25.069401,121.552002,18.0,AS,TW,TW-TPE,Taipei (Songshan),medium_airport,False,TW
TSF,Treviso Antonio Canova Airport,45.648399,12.1944,59.0,EU,IT,IT-34,Treviso (TV),medium_airport,False,IT
TSJ,Tsushima Airport,34.2849006653,129.330993652,213.0,AS,JP,JP-42,Tsushima,medium_airport,False,JP
TSM,Taos Regional Airport,36.452494,-105.67749,7095.0,,US,US-NM,Taos,medium_airport,False,US
TSN,Tianjin Binhai International Airport,39.124401092499994,117.346000671,10.0,AS,CN,CN-12,Tianjin,large_airport,False,CN
TSR,Timişoara Traian Vuia Airport,45.809898,21.3379,348.0,EU,RO,RO-TM,Timişoara,medium_airport,False,RO
TST,Trang Airport,7.50874,99.6166,67.0,AS,TH,TH-92,Trang,medium_airport,False,TH
TSV,Townsville Airport / RAAF Base Townsville,-19.252904,146.766512,18.0,OC,AU,AU-QLD,Townsville,medium_airport,False,AU
TTA,Tan Tan Airport,28.44820022583008,-11.161299705505373,653.0,AF,MA,MA-10,Tan Tan,medium_airport,False,MA
TTE,Sultan Babullah Airport,0.831012,127.381611,49.0,AS,ID,ID-MU,Sango,medium_airport,False,ID
TTJ,Tottori Sand Dunes Conan Airport,35.530102,134.167007,65.0,AS,JP,JP-31,Tottori,medium_airport,False,JP
TTN,Trenton Mercer Airport,40.276699,-74.813499,213.0,,US,US-NJ,Ewing Township,medium_airport,False,US
TTT,Taitung Airport,22.7549991607666,121.10199737548828,143.0,AS,TW,TW-TTT,Taitung City,medium_airport,False,TW
TTU,Sania Ramel Airport,35.594299,-5.32002,10.0,AF,MA,MA-01,Tétouan,medium_airport,False,MA
TUA,Lieutenant Colonel Luis A. Mantilla International Airport,0.809506,-77.708099,9649.0,SA,EC,EC-C,Tulcán,medium_airport,False,EC
TUB,Tubuai Airport,-23.365400314331055,-149.5240020751953,7.0,OC,PF,PF-U-A,,medium_airport,False,PF
TUC,Teniente Benjamin Matienzo Airport,-26.8409,-65.104897,1493.0,SA,AR,AR-T,San Miguel de Tucumán,medium_airport,False,AR
TUD,Tambacounda Airport,13.73680019378662,-13.65310001373291,161.0,AF,SN,SN-TC,Tambacounda,medium_airport,False,SN
TUF,Tours Val de Loire Airport,47.432201,0.727606,357.0,EU,FR,FR-CVL,"Tours, Indre-et-Loire",medium_airport,False,FR
TUG,Tuguegarao Airport,17.6433676823,121.733150482,70.0,AS,PH,PH-CAG,Tuguegarao City,medium_airport,False,PH
TUI,Turaif Domestic Airport,31.692188,38.731544,2803.0,AS,SA,SA-08,Turaif,medium_airport,False,SA
TUK,Turbat International Airport,25.986400604248047,63.03020095825195,498.0,AS,PK,PK-BA,Turbat,medium_airport,False,PK
TUL,Tulsa International Airport,36.19839859008789,-95.88809967041016,677.0,,US,US-OK,Tulsa,large_airport,False,US
TUN,Tunis Carthage International Airport,36.851002,10.2272,22.0,AF,TN,TN-11,Tunis,large_airport,False,TN
TUO,Taupo Airport,-38.73970031738281,176.08399963378906,1335.0,OC,NZ,NZ-WKO,Taupo,medium_airport,False,NZ
TUP,Tupelo Regional Airport,34.26810073852539,-88.7698974609375,346.0,,US,US-MS,Tupelo,medium_airport,False,US
TUR,Tucuruí Airport,-3.78601,-49.720299,830.0,SA,BR,BR-PA,Tucuruí,medium_airport,False,BR
TUS,Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,2643.0,,US,US-AZ,Tucson,medium_airport,False,US
TUU,Tabuk Airport,28.3654,36.6189,2551.0,AS,SA,SA-07,Tabuk,medium_airport,False,SA
TVC,Cherry Capital Airport,44.74140167236328,-85.58219909667969,624.0,,US,US-MI,Traverse City,medium_airport,False,US
TVF,Thief River Falls Regional Airport,48.065701,-96.184998,1119.0,,US,US-MN,Thief River Falls,medium_airport,False,US
TVY,Dawei Airport,14.103899955749512,98.20359802246094,84.0,AS,MM,MM-05,Dawei,medium_airport,False,MM
TWF,Joslin Field Magic Valley Regional Airport,42.4818,-114.487999,4154.0,,US,US-ID,Twin Falls,medium_airport,False,US
TWT,Sanga Sanga Airport,5.048196,119.743338,15.0,AS,PH,PH-TAW,Bongao,medium_airport,False,PH
TWU,Tawau Airport,4.31338,118.12152,57.0,AS,MY,MY-12,Tawau,medium_airport,False,MY
TXE,Rembele Airport,4.72113,96.851943,4648.0,AS,ID,ID-AC,Takengon,medium_airport,False,ID
TXK,Texarkana Regional Airport (Webb Field),33.453701,-93.990997,390.0,,US,US-AR,Texarkana,medium_airport,False,US
TXN,Tunxi International Airport,29.733299255371097,118.25599670410156,,AS,CN,CN-34,Huangshan,medium_airport,False,CN
TYF,Torsby Airport,60.1576,12.9913,393.0,EU,SE,SE-S,Torsby,medium_airport,False,SE
TYL,Captain Victor Montes Arias International Airport,-4.57664,-81.254097,282.0,SA,PE,PE-PIU,Talara,medium_airport,False,PE
TYN,Taiyuan Wusu International Airport,37.746899,112.627998,2575.0,AS,CN,CN-14,Taiyuan,large_airport,False,CN
TYR,Tyler Pounds Regional Airport,32.35409927368164,-95.40239715576172,544.0,,US,US-TX,Tyler,medium_airport,False,US
TYS,McGhee Tyson Airport,35.811001,-83.994003,981.0,,US,US-TN,Alcoa,medium_airport,False,US
TZA,Sir Barry Bowen Municipal Airport,17.517239,-88.195775,8.0,,BZ,BZ-BZ,Belize City,medium_airport,False,BZ
TZL,Tuzla International Airport,44.458698,18.7248,784.0,EU,BA,BA-BIH,Dubrave Gornje,medium_airport,False,BA
TZN,Congo Town Airport,24.158701,-77.589798,15.0,,BS,BS-SA,Andros,medium_airport,False,BS
TZX,Trabzon International Airport,40.995098,39.7897,104.0,AS,TR,TR-61,Trabzon,medium_airport,False,TR
UAK,Narsarsuaq Airport,61.1605,-45.425999,112.0,,GL,GL-KU,Narsarsuaq,medium_airport,False,GL
UAQ,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,1958.0,SA,AR,AR-J,San Juan,medium_airport,False,AR
UBA,Mário de Almeida Franco Airport,-19.765036,-47.964805,2655.0,SA,BR,BR-MG,Uberaba,medium_airport,False,BR
