country,origin_airport,origin_name,origin_city,origin_type,origin_is_hub,destination_airport,destination_name,destination_city,destination_type,destination_is_hub,distance_km
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,PHL,Philadelphia International Airport,Philadelphia,large_airport,False,2651.38
US,PHL,Philadelphia International Airport,Philadelphia,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2651.38
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,PHX,Phoenix Sky Harbor International Airport,Phoenix,large_airport,False,1703.5
US,PHX,Phoenix Sky Harbor International Airport,Phoenix,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1703.5
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,PIT,Pittsburgh International Airport,Pittsburgh,large_airport,False,2252.39
US,PIT,Pittsburgh International Airport,Pittsburgh,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2252.39
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,PVD,Theodore Francis Green State Airport,Warwick,large_airport,False,2833.65
US,PVD,Theodore Francis Green State Airport,Warwick,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2833.65
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,PWM,Portland International Jetport,Portland,large_airport,False,2826.11
US,PWM,Portland International Jetport,Portland,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2826.11
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,RDU,Raleigh Durham International Airport,Raleigh/Durham,large_airport,False,2654.07
US,RDU,Raleigh Durham International Airport,Raleigh/Durham,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2654.07
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,RIC,Richmond International Airport,Richmond,large_airport,False,2646.08
US,RIC,Richmond International Airport,Richmond,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2646.08
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,RNO,Reno Tahoe International Airport,Reno,large_airport,False,1428.47
US,RNO,Reno Tahoe International Airport,Reno,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1428.47
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,RSW,Southwest Florida International Airport,Fort Myers,large_airport,False,3232.21
US,RSW,Southwest Florida International Airport,Fort Myers,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,3232.21
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SAN,San Diego International Airport,San Diego,large_airport,False,1935.48
US,SAN,San Diego International Airport,San Diego,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1935.48
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SAT,San Antonio International Airport,San Antonio,large_airport,False,2190.36
US,SAT,San Antonio International Airport,San Antonio,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2190.36
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SAV,Savannah Hilton Head International Airport,Savannah,large_airport,False,2780.78
US,SAV,Savannah Hilton Head International Airport,Savannah,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2780.78
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SDF,Louisville Muhammad Ali International Airport,Louisville,large_airport,False,2017.19
US,SDF,Louisville Muhammad Ali International Airport,Louisville,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,2017.19
US,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,SEA,Seattle–Tacoma International Airport,Seattle,large_airport,False,1172.66
US,SEA,Seattle–Tacoma International Airport,Seattle,large_airport,False,GGW,Glasgow Valley County Airport Wokal Field,Glasgow,medium_airport,False,1172.66
